"X","dia","min","max"
1,"1972-01-01",0.4,14.2
2,"1972-01-02",8.2,14.4
3,"1972-01-03",3.4,15.2
4,"1972-01-04",6.6,18.2
5,"1972-01-05",6.2,13.6
6,"1972-01-06",4,12.8
7,"1972-01-07",7.4,13
8,"1972-01-08",4.4,14.6
9,"1972-01-09",8.2,14.2
10,"1972-01-10",3,14.2
11,"1972-01-11",3.8,16.4
12,"1972-01-12",4.2,12.6
13,"1972-01-13",4.8,13.6
14,"1972-01-14",8.6,13.2
15,"1972-01-15",7,15
16,"1972-01-16",6,12
17,"1972-01-17",4.6,10.6
18,"1972-01-18",-0.8,12
19,"1972-01-19",-0.2,12.4
20,"1972-01-20",9.6,14.4
21,"1972-01-21",1,12.6
22,"1972-01-22",0,13.2
23,"1972-01-23",0.6,10.6
24,"1972-01-24",-4,11
25,"1972-01-25",-1,12.2
26,"1972-01-26",-1.4,13.6
27,"1972-01-27",0,14.6
28,"1972-01-28",3.8,12.6
29,"1972-01-29",1.6,12.6
30,"1972-01-30",0.2,12.2
31,"1972-01-31",4.4,15
32,"1972-02-01",9,15
33,"1972-02-02",8.6,13.4
34,"1972-02-03",6.6,14.6
35,"1972-02-04",8,14
36,"1972-02-05",8.4,16.2
37,"1972-02-06",9.6,15.4
38,"1972-02-07",6.6,15
39,"1972-02-08",7.4,16.4
40,"1972-02-09",5.8,13.2
41,"1972-02-10",4.2,15.6
42,"1972-02-11",7.4,16.4
43,"1972-02-12",7,15.6
44,"1972-02-13",5.4,16.6
45,"1972-02-14",3.6,18
46,"1972-02-15",4.4,16.6
47,"1972-02-16",1.2,12.6
48,"1972-02-17",0.6,12.4
49,"1972-02-18",1.8,12.6
50,"1972-02-19",2.2,14
51,"1972-02-20",7.4,14
52,"1972-02-21",7.4,16.4
53,"1972-02-22",6.6,16.4
54,"1972-02-23",7,16.6
55,"1972-02-24",5.2,16.8
56,"1972-02-25",6.2,15.6
57,"1972-02-26",6.6,14
58,"1972-02-27",3,13.6
59,"1972-02-28",2,15
